Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
herringbone-parquet-engineered-wood-flooring-18mm-nude-brushed-matt-lacquered,Herringbone Parquet Engineered Wood Flooring 18mm Nude Brushed Matt Lacquered,,Factory Direct Flooring,Home & Garden > Decor > Flooring,Engineered Wood Flooring,engineered-wood-flooring,TRUE,Title,Default Title,74098NBL,0,shopify,100,deny,manual,0.00,,TRUE,TRUE,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/f/f/ff-74098nbl-11.jpg,1,Herringbone Parquet Engineered Wood Flooring 18mm Nude Brushed Matt Lacquered,Herringbone Parquet Engineered Wood Flooring 18mm Nude Brushed Matt Lacquered,,active
herringbone-parquet-engineered-wood-flooring-18mm-nude-brushed-matt-lacquered,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/f/f/ff-74098nbl-18.jpg,2,Herringbone Parquet Engineered Wood Flooring 18mm Nude Brushed Matt Lacquered,,,
abbey-audley-engineered-wood-flooring-oak-14mm-x-165mm-brushed-oiled,Abbey Audley Engineered Wood Flooring Oak 14mm x 165mm Brushed Oiled,,Factory Direct Flooring,Home & Garden > Decor > Flooring,Engineered Wood Flooring,engineered-wood-flooring,TRUE,Title,Default Title,74100AUD,0,shopify,100,deny,manual,0.00,,TRUE,TRUE,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/a/b/abbey_audley_oak_14mm_brushed_oiled_engineered_17.jpg,1,Abbey Audley Engineered Wood Flooring Oak 14mm x 165mm Brushed Oiled,Abbey Audley Engineered Wood Flooring Oak 14mm x 165mm Brushed Oiled,,active
abbey-audley-engineered-wood-flooring-oak-14mm-x-165mm-brushed-oiled,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/a/b/abbey_audley_oak_14mm_brushed_oiled_engineered_13.jpg,2,Abbey Audley Engineered Wood Flooring Oak 14mm x 165mm Brushed Oiled,,,
herringbone-parquet-engineered-wood-flooring-12mm-natural-oak-brushed-uv-oiled,Herringbone Parquet Engineered Wood Flooring 12mm Natural Oak Brushed UV Oiled,,Factory Direct Flooring,Home & Garden > Decor > Flooring,Engineered Wood Flooring,engineered-wood-flooring,TRUE,Title,Default Title,74167H,0,shopify,100,deny,manual,0.00,,TRUE,TRUE,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/7/4/74167h-14.jpg,1,Herringbone Parquet Engineered Wood Flooring 12mm Natural Oak Brushed UV Oiled,Herringbone Parquet Engineered Wood Flooring 12mm Natural Oak Brushed UV Oiled,,active
herringbone-parquet-engineered-wood-flooring-12mm-natural-oak-brushed-uv-oiled,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/7/4/74167h-18.jpg,2,Herringbone Parquet Engineered Wood Flooring 12mm Natural Oak Brushed UV Oiled,,,
herringbone-parquet-engineered-wood-flooring-12mm-double-smoked-brushed-lacquer,Herringbone Parquet Engineered Wood Flooring 12mm Double Smoked Brushed Lacquer,,Factory Direct Flooring,Home & Garden > Decor > Flooring,Engineered Wood Flooring,engineered-wood-flooring,TRUE,Title,Default Title,74168H,0,shopify,100,deny,manual,0.00,,TRUE,TRUE,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/7/4/74168h-14.jpg,1,Herringbone Parquet Engineered Wood Flooring 12mm Double Smoked Brushed Lacquer,Herringbone Parquet Engineered Wood Flooring 12mm Double Smoked Brushed Lacquer,,active
herringbone-parquet-engineered-wood-flooring-12mm-double-smoked-brushed-lacquer,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/7/4/74168h-17.jpg,2,Herringbone Parquet Engineered Wood Flooring 12mm Double Smoked Brushed Lacquer,,,
herringbone-parquet-engineered-wood-flooring-12mm-smoked-brushed-lacquer,Herringbone Parquet Engineered Wood Flooring 12mm Smoked Brushed Lacquer,,Factory Direct Flooring,Home & Garden > Decor > Flooring,Engineered Wood Flooring,engineered-wood-flooring,TRUE,Title,Default Title,74169H,0,shopify,100,deny,manual,0.00,,TRUE,TRUE,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/7/4/74169h-14.jpg,1,Herringbone Parquet Engineered Wood Flooring 12mm Smoked Brushed Lacquer,Herringbone Parquet Engineered Wood Flooring 12mm Smoked Brushed Lacquer,,active
herringbone-parquet-engineered-wood-flooring-12mm-smoked-brushed-lacquer,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/7/4/74169h-17.jpg,2,Herringbone Parquet Engineered Wood Flooring 12mm Smoked Brushed Lacquer,,,
